Date,SalesRep,Product,Units,Price,Total Sales,City,State,Region,Day
1/1/2013,xxx,Nestle Aero Mint Potz,4,495,1980,Ranchi,,East,Tuesday
1/2/2013,xxx,Nestle Smarties Pop-Up,2,438,876,Trivandrum,,South,Wednesday
1/2/2013,xxx,Nestle Maxibon Cookie,1,426,426,Ranchi,,East,Wednesday
1/2/2013,xxx,,2,260,520,Mysore,,South,Wednesday
1/2/2013,xxx,,4,285,1140,Pune,,West,Wednesday
1/3/2013,xxx,,2,206,412,Pune,,West,Thursday
1/3/2013,xxx,,3,222,666,Pune,,West,Thursday
1/4/2013,xxx,,15,458,6870,Nagpur,,West,Friday
1/4/2013,xxx,Nestle Rowntree Fruit Pastil,2,304,608,Shimla,,North,Friday
1/4/2013,xxx,Nestle Rowntree Fruit Pastil,2,224,448,Goa,0,West,Friday
1/4/2013,,Nestle Kit Kat Cone,,,,,0,North,Friday
1/4/2013,,Nestle Fab,,,,,0,West,Friday
1/4/2013,,Nestle Aero Mint Potz,,,,,0,West,Friday
1/5/2013,,Nestle Toffee Crumble,,,,,0,South,Saturday
1/5/2013,,Nestle Fab,,,,,0,North,Saturday
1/5/2013,,,,,,,0,South,Saturday
1/5/2013,,,,,,,0,East,Saturday
1/5/2013,,,,,,,0,West,Saturday
1/5/2013,,,,,,,0,West,Saturday
1/5/2013,Marian  Hill,,,,,,,South,Saturday
1/5/2013,Carla  Mccormick,,,,,,,North,Saturday
1/5/2013,Brooke  Horton,,,,,,,North,Saturday
1/5/2013,Bethany  Pena,,,,,,,,Saturday
1/6/2013,Rachel  Gomez,,,,,,,,Sunday
1/6/2013,Sylvester  Morales,,,,,,,,Sunday
1/7/2013,Kyle  Carr,,,,,,,,Monday
1/7/2013,Salvador  Bass,,,,,,,,Monday
1/7/2013,Trevor  Jones,,,,,,,,Monday
1/7/2013,Brooke  Horton,,,,,,,,Monday
1/7/2013,Marian  Hill,,,,,,,,Monday
1/7/2013,Tracy  Reed,,,,,,,,Monday
1/7/2013,Trevor  Jones,,,,,,,,Monday
1/8/2013,Arturo  Francis,Nestle Smarties Pop-Up,,,,,,,Tuesday
1/8/2013,Bobbie  Ryan,Nestle Smarties Pop-Up,,,,,,,Tuesday
1/8/2013,Isabel  Cross,Nestle Aero Mint Potz,,,,,,,Tuesday
1/8/2013,Rachel  Gomez,Nestle Fab,21,207,4347,Delhi,,,Tuesday
1/9/2013,Willie  Vega,Nestle Rowntree Fruit Pastil,3,346,1038,Delhi,,,Wednesday
1/9/2013,Shari  Silva,Nestle Aero Mint Potz,2,327,654,Mysore,,,Wednesday
1/9/2013,Max  Rodgers,Nestle Aero Mint Potz,3,336,1008,Nagpur,,,Wednesday
1/9/2013,Lance  Yates,Nestle Maxibon Cookie,2,118,236,Srinagar,,,Wednesday
1/10/2013,Jenny  Garcia,Nestle Toffee Crumble,1,492,492,Shimla,,,Thursday
1/10/2013,Peter  Hodges,Nestle Toffee Crumble,2,218,436,Shimla,,,Thursday
1/10/2013,Drew  Rogers,Nestle Nobbly Bobbly,3,188,564,Delhi,,,Thursday
1/10/2013,Marian  Hill,Nestle Smarties Pop-Up,1,361,361,Trivandrum,,,Thursday
1/11/2013,Ruben  Nunez,Nestle Fab,1,494,494,Ahmedabad,,,Friday
1/11/2013,Mable  Lindsey,Nestle Nobbly Bobbly,19,342,6498,Ahmedabad,,,Friday
1/11/2013,Christina  Fuller,Nestle Maxibon Cookie,2,162,324,Nagpur,,,Friday
1/11/2013,Bernadette  Page,Nestle Fab,1,316,316,Delhi,,,Friday
1/11/2013,Lee  Mack,Nestle Aero Mint Potz,2,401,802,Delhi,,,Friday
1/11/2013,Marion  Glover,Nestle Toffee Crumble,2,443,886,Durgapur,,,Friday
1/11/2013,Cassandra  Franklin,Nestle Nobbly Bobbly,2,342,684,Delhi,,,Friday
1/11/2013,Eric  Rose,Nestle Nobbly Bobbly,3,498,1494,Mumbai,,,Friday
1/11/2013,Christy  Olson,Nestle Toffee Crumble,1,100,100,Surat,,,Friday
1/12/2013,Cecilia  Manning,Nestle Rolo Potz,2,178,356,Trivandrum,,,Saturday
1/12/2013,Cecilia  Manning,Nestle Milky Bar Stick,1,352,352,Trivandrum,,,Saturday
1/12/2013,Jaime  Pearson,Nestle Kit Kat Cone,1,279,279,Jodhpur,,,Saturday
1/12/2013,Johanna  Boone,Nestle Rowntree Fruit Pastil,3,300,900,Mysore,,,Saturday
1/12/2013,Dan  Peterson,Nestle Rowntree Screamers,1,320,320,Shimla,,,Saturday
1/12/2013,Christy  Olson,Nestle Smarties Pop-Up,2,350,700,Surat,,,Saturday
1/13/2013,Lula  Daniels,Nestle Fab,2,231,462,Nainital,,,Sunday
1/13/2013,Rachel  Gomez,Nestle Rowntree Fruit Pastil,4,477,1908,Delhi,,,Sunday
1/13/2013,Edwin  Malone,Nestle Aero Mint Potz,3,432,1296,Kolkata,,,Sunday
1/13/2013,Dan  Peterson,Nestle Maxibon Cookie,2,149,298,Shimla,,,Sunday
1/14/2013,Cassandra  Franklin,Nestle Fab,4,403,1612,Delhi,,,Monday
1/14/2013,Shari  Silva,Nestle Kit Kat Cone,2,489,978,Mysore,,,Monday
1/14/2013,Brooke  Horton,Nestle Fab,15,370,5550,Nainital,,,Monday
1/14/2013,Ben  Perez,Nestle Fab,2,191,382,Goa,,,Monday
1/14/2013,Willie  Vega,Nestle Milky Bar Stick,1,411,411,Delhi,,,Monday
1/15/2013,Bernadette  Page,Nestle Smarties Pop-Up,2,296,592,Delhi,,,Tuesday
1/15/2013,Drew  Rogers,Nestle Maxibon Cookie,3,203,609,Delhi,,,Tuesday
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1/17/2013,Johanna  Boone,Nestle Milky Bar Stick,1,415,415,Mysore,,,Thursday
1/17/2013,Salvador  Bass,Nestle Smarties Pop-Up,2,441,882,Goa,,,Thursday
1/17/2013,Herman  Williams,Nestle Rowntree Screamers,3,380,1140,Darjeeling,,,Thursday
1/18/2013,Shari  Silva,Nestle Kit Kat Cone,3,176,528,Mysore,,,Friday
1/18/2013,Robert  Munoz,Nestle Maxibon Cookie,2,414,828,Delhi,,,Friday
1/18/2013,Ellen  Weaver,Nestle Fab,3,395,1185,Hyderabad,,,Friday
1/18/2013,Bobbie  Ryan,Nestle Smarties Pop-Up,3,496,1488,Darjeeling,,,Friday
1/19/2013,Lance  Yates,Nestle Toffee Crumble,3,337,1011,Srinagar,,,Saturday
1/19/2013,Mable  Lindsey,Nestle Milky Bar Stick,3,398,1194,Ahmedabad,,,Saturday
1/20/2013,Ivan  Adkins,Nestle Aero Mint Potz,1,485,485,Mumbai,,,Sunday
1/20/2013,Christina  Fuller,Nestle Rowntree Fruit Pastil,3,285,855,Nagpur,,,Sunday
1/20/2013,Robert  Munoz,Nestle Toffee Crumble,21,418,8778,Delhi,,,Sunday
1/20/2013,Johanna  Boone,Nestle Smarties Pop-Up,2,130,260,Mysore,,,Sunday
1/20/2013,Cassandra  Franklin,Nestle Smarties Pop-Up,3,188,564,Delhi,,,Sunday
1/20/2013,Cecilia  Manning,Nestle Kit Kat Cone,12,157,1884,Trivandrum,,,Sunday
1/21/2013,Jenny  Garcia,Nestle Smarties Pop-Up,3,262,786,Shimla,,,Monday
1/21/2013,Jaime  Pearson,Nestle Milky Bar Stick,2,326,652,Jodhpur,,,Monday
1/21/2013,Rachel  Gomez,Nestle Milky Bar Stick,2,323,646,Delhi,,,Monday
1/21/2013,Ellen  Weaver,Nestle Smarties Pop-Up,3,191,573,Hyderabad,,,Monday
1/21/2013,Shari  Silva,Nestle Aero Mint Potz,1,265,265,Mysore,,,Monday
1/21/2013,Eric  Rose,Nestle Aero Mint Potz,3,414,1242,Mumbai,,,Monday
1/21/2013,Lula  Daniels,Nestle Milky Bar Stick,2,252,504,Nainital,,,Monday
1/21/2013,Salvador  Bass,Nestle Maxibon Cookie,1,243,243,Goa,,,Monday
1/22/2013,Elvira  Bowman,Nestle Aero Mint Potz,22,491,10802,Srinagar,,,Tuesday
1/22/2013,Mable  Lindsey,Nestle Maxibon Cookie,2,150,300,Ahmedabad,,,Tuesday
1/22/2013,Andrew  Meyer,Nestle Fab,1,264,264,Mumbai,,,Tuesday
1/22/2013,Lynette  Brewer,Nestle Toffee Crumble,19,136,2584,Varanasi,,,Tuesday
1/22/2013,Johanna  Boone,Nestle Rowntree Fruit Pastil,1,254,254,Mysore,,,Tuesday
1/22/2013,Edwin  Malone,Nestle Smarties Pop-Up,2,136,272,Kolkata,,,Tuesday
1/23/2013,Della  Jensen,Nestle Rowntree Fruit Pastil,2,450,900,Patna,,,Wednesday
1/23/2013,Blake  Bridges,Nestle Maxibon Cookie,2,439,878,Cochin,,,Wednesday
1/23/2013,Mable  Lindsey,Nestle Kit Kat Cone,23,140,3220,Ahmedabad,,,Wednesday
1/23/2013,Ernest  Davis,Nestle Aero Mint Potz,3,259,777,Mumbai,,,Wednesday
1/23/2013,Della  Jensen,Nestle Toffee Crumble,2,324,648,Patna,,,Wednesday
1/24/2013,Robert  Munoz,Nestle Toffee Crumble,2,374,748,Delhi,,,Thursday
1/24/2013,Cecilia  Manning,Nestle Rolo Potz,11,433,4763,Trivandrum,,,Thursday
1/24/2013,Salvador  Bass,Nestle Aero Mint Potz,3,377,1131,Goa,,,Thursday
1/25/2013,Cassandra  Franklin,Nestle Rowntree Fruit Pastil,2,308,616,Delhi,,,Friday
1/25/2013,Lee  Mack,Nestle Fab,1,199,199,Delhi,,,Friday
1/25/2013,Rachel  Gomez,Nestle Milky Bar Stick,3,464,1392,Delhi,,,Friday
1/25/2013,Shari  Silva,Nestle Maxibon Cookie,2,319,638,Mysore,,,Friday
1/26/2013,Shari  Silva,Nestle Rowntree Fruit Pastil,2,465,930,Mysore,,,Saturday
1/26/2013,Robert  Munoz,Nestle Milky Bar Stick,2,182,364,Delhi,,,Saturday
1/26/2013,Ernest  Davis,Nestle Milky Bar Stick,1,401,401,Mumbai,,,Saturday
1/26/2013,Lee  Mack,Nestle Smarties Pop-Up,7,293,2051,Delhi,,,Saturday
1/26/2013,Rachel  Gomez,Nestle Kit Kat Cone,1,147,147,Delhi,,,Saturday
1/26/2013,Andrew  Meyer,Nestle Fab,20,136,2720,Mumbai,,,Saturday
1/27/2013,Isabel  Cross,Nestle Smarties Pop-Up,20,348,6960,Ranchi,,,Sunday
1/27/2013,Cindy  Becker,Nestle Fab,2,244,488,Bangalore,,,Sunday
1/27/2013,Felicia  Jennings,Nestle Milky Bar Stick,1,253,253,Pune,,,Sunday
1/27/2013,Della  Jensen,Nestle Aero Mint Potz,1,155,155,Patna,,,Sunday
1/28/2013,Bernadette  Page,Nestle Aero Mint Potz,2,100,200,Delhi,,,Monday
1/28/2013,Rachel  Gomez,Nestle Milky Bar Stick,1,319,319,Delhi,,,Monday
1/28/2013,Cecilia  Manning,Nestle Aero Mint Potz,3,284,852,Trivandrum,,,Monday
1/29/2013,Lee  Mack,Nestle Rowntree Fruit Pastil,1,167,167,Delhi,,,Tuesday
1/29/2013,Robert  Munoz,Nestle Rowntree Fruit Pastil,2,370,740,Delhi,,,Tuesday
1/29/2013,Lee  Mack,Nestle Rowntree Fruit Pastil,22,365,8030,Delhi,,,Tuesday
1/30/2013,Carla  Mccormick,Nestle Smarties Pop-Up,3,222,666,Varanasi,,,Wednesday
1/30/2013,Iris  Underwood,Nestle Milky Bar Stick,1,200,200,Pune,,,Wednesday
1/30/2013,Brooke  Horton,Nestle Smarties Pop-Up,3,429,1287,Nainital,,,Wednesday
1/31/2013,Edwin  Malone,Nestle Smarties Pop-Up,3,129,387,Kolkata,,,Thursday
1/31/2013,Johanna  Boone,Nestle Rowntree Fruit Pastil,2,355,710,Mysore,,,Thursday
1/31/2013,Cassandra  Franklin,Nestle Milky Bar Stick,2,168,336,Delhi,,,Thursday
1/31/2013,Guillermo  Potter,Nestle Milky Bar Stick,2,210,420,Nainital,,,Thursday
1/31/2013,Edwin  Malone,Nestle Fab,1,138,138,Kolkata,,,Thursday
1/31/2013,Joey  Wong,Nestle Smarties Pop-Up,3,493,1479,Goa,,,Thursday
2/1/2013,Rachel  Gomez,Nestle Rowntree Fruit Pastil,1,160,160,Delhi,,,Friday
2/1/2013,Joey  Wong,Nestle Maxibon Cookie,2,151,302,Goa,,,Friday
2/1/2013,Trevor  Jones,Nestle Aero Mint Potz,3,383,1149,Pune,,,Friday
2/1/2013,Andrew  Meyer,Nestle Rowntree Screamers,3,187,561,Mumbai,,,Friday
2/1/2013,Drew  Rogers,Nestle Smarties Pop-Up,1,111,111,Delhi,,,Friday
2/1/2013,Max  Rodgers,Nestle Rowntree Fruit Pastil,1,114,114,Nagpur,,,Friday
2/1/2013,Mable  Lindsey,Nestle Milky Bar Stick,2,208,416,Ahmedabad,,,Friday
2/2/2013,Colleen  Warren,Nestle Smarties Pop-Up,1,288,288,Ahmedabad,,,Saturday
2/2/2013,Cassandra  Franklin,Nestle Milky Bar Stick,3,282,846,Delhi,,,Saturday
2/3/2013,Pauline  Beck,Nestle Rowntree Fruit Pastil,1,372,372,Pune,,,Sunday
2/3/2013,Joey  Wong,Nestle Kit Kat Cone,2,119,238,Goa,,,Sunday
2/3/2013,Trevor  Jones,Nestle Toffee Crumble,1,114,114,Pune,,,Sunday
2/3/2013,Cindy  Becker,Nestle Fab,1,367,367,Bangalore,,,Sunday
2/4/2013,Trevor  Jones,Nestle Aero Mint Potz,3,247,741,Pune,,,Monday
2/4/2013,Robert  Munoz,Nestle Rolo Potz,2,365,730,Delhi,,,Monday
2/4/2013,Max  Rodgers,Nestle Rowntree Screamers,1,410,410,Nagpur,,,Monday
2/5/2013,Bobbie  Ryan,Nestle Aero Mint Potz,3,163,489,Darjeeling,,,Tuesday
